# ----------------------------------------,,,,,,
# Firebase overview,,,,,,
# ----------------------------------------,,,,,,
# How are active users trending?,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Nth day,30 days,7 days,1 day,,,
0,21818,9009,2109,,,
1,22539,9068,2178,,,
2,23237,9213,2177,,,
3,23760,9462,2022,,,
4,24392,9597,1976,,,
5,24987,9600,1975,,,
6,25563,9672,1967,,,
7,26101,9728,2089,,,
8,26571,9828,2211,,,
9,27040,9841,2159,,,
10,27406,9883,2090,,,
11,27584,10054,2080,,,
12,27905,10083,2067,,,
13,28356,10225,2158,,,
14,28863,10273,2180,,,
15,29278,10384,2376,,,
16,29688,10581,2330,,,
17,29870,10650,2183,,,
18,30175,10742,2174,,,
19,30664,10922,2261,,,
20,31053,11067,2266,,,
21,31402,11065,2332,,,
22,32016,11077,2409,,,
23,32405,11158,2394,,,
24,32419,11085,2099,,,
25,32545,11016,2054,,,
26,32657,10901,1955,,,
27,32677,10642,1956,,,
28,32769,10296,2014,,,
29,32556,9783,1833,,,
30,32179,9180,1680,,,
,,,,,,
#,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Nth day,2.3.6,2.3.4,2.3.5,2.3.022.b,2.2.073.b,
0,0,1960,19,84,27,
1,0,2028,9,98,24,
2,0,2011,9,94,41,
3,0,1873,22,83,24,
4,0,1837,15,78,23,
5,0,1491,374,65,28,
6,0,1104,751,63,32,
7,7,986,982,71,38,
8,7,951,1133,69,34,
9,2,786,1256,62,31,
10,28,666,1298,53,32,
11,440,603,923,66,36,
12,836,566,581,50,19,
13,1089,512,469,65,22,
14,1229,497,368,55,30,
15,1457,503,324,53,33,
16,1495,469,270,50,32,
17,1460,418,218,46,30,
18,1516,382,196,50,20,
19,1619,379,177,43,27,
20,1695,343,129,50,37,
21,1749,347,150,54,24,
22,1825,329,168,51,26,
23,1830,320,142,55,34,
24,1645,278,98,35,31,
25,1619,257,85,41,23,
26,1550,245,67,46,22,
27,1546,231,89,37,21,
28,1617,227,83,40,22,
29,1403,253,92,34,32,
30,1293,235,79,31,30,
,,,,,,
#,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
App,Version,Status,,,,
8626610239,2.3.8,Successful,,,,
9786885408,2.3.8,Successful,,,,
,,,,,,
#,,,,,,
# Start date: 20250831,,,,,,
# End date: 20250831,,,,,,
App,Crash-free users,,,,,
9786885408,1,,,,,
8626610239,1,,,,,
,,,,,,
# Start date: 20250830,,,,,,
# End date: 20250830,,,,,,
App,Crash-free users,,,,,
9786885408,1,,,,,
8626610239,1,,,,,
,,,,,,
#,,,,,,
# Start date: 20250801,,,,,,
# End date: 20250831,,,,,,
Nth day,Average engagement time per active user,,,,,
0,380.7714557,,,,,
1,365.4719927,,,,,
2,378.9301791,,,,,
3,379.5133531,,,,,
4,388.041498,,,,,
5,373.2678481,,,,,
6,372.8652771,,,,,
7,349.3542365,,,,,
8,356.0443238,,,,,
9,340.8184345,,,,,
10,317.4196172,,,,,
11,361.3605769,,,,,
12,312.7421384,,,,,
13,316.6005561,,,,,
14,344.7940367,,,,,
15,329.7462121,,,,,
16,331.9961373,,,,,
17,334.5263399,,,,,
